"","StartAge","MatAge","DeathAge","PolicyCost","isEarlyDeath","GrossProfit"
"299",36,60,68,37561.7922776187,0,-58438.2077223813
"300",28,60,67,25084.8662777387,0,-58915.1337222613
"301",31,60,87,29166.4308372293,0,-294833.569162771
"302",27,60,80,23858.5741941828,0,-216141.425805817
"303",38,60,80,41595.5273390858,0,-198404.472660914
"304",38,60,69,41595.5273390858,0,-66404.4726609142
"305",35,60,74,35701.233109925,0,-132298.766890075
"306",36,60,51,37561.7922776187,1,37561.7922776187
"307",30,60,76,27735.0538552814,0,-164264.946144719
"308",36,60,96,37561.7922776187,0,-394438.207722381
"309",32,60,85,30674.138324602,0,-269325.861675398
"310",28,60,87,25084.8662777387,0,-298915.133722261
"311",25,60,87,21586.579096464,0,-302413.420903536
"312",32,60,78,30674.138324602,0,-185325.861675398
"313",36,60,78,37561.7922776187,0,-178438.207722381
"314",31,60,76,29166.4308372293,0,-162833.569162771
"315",28,60,89,25084.8662777387,0,-322915.133722261
"316",26,60,79,22693.5934864521,0,-205306.406513548
"317",38,60,86,41595.5273390858,0,-270404.472660914
"318",37,60,69,39524.46598779,0,-68475.53401221
"319",36,60,54,37561.7922776187,1,37561.7922776187
"320",29,60,93,26375.7729182613,0,-369624.227081739
"321",39,60,74,43781.6922550225,0,-124218.307744977
"322",33,60,84,32262.692948038,0,-255737.307051962
"323",31,60,79,29166.4308372293,0,-198833.569162771
"324",35,60,78,35701.233109925,0,-180298.766890075
"325",34,60,82,33936.5730090924,0,-230063.426990908
"326",36,60,80,37561.7922776187,0,-202438.207722381
"327",36,60,82,37561.7922776187,0,-226438.207722381
"328",30,60,69,27735.0538552814,0,-80264.9461447186
"329",31,60,84,29166.4308372293,0,-258833.569162771
"330",35,60,57,35701.233109925,1,35701.233109925
"331",39,60,81,43781.6922550225,0,-208218.307744977
"332",28,60,90,25084.8662777387,0,-334915.133722261
"333",35,60,93,35701.233109925,0,-360298.766890075
"334",35,60,87,35701.233109925,0,-288298.766890075
"335",30,60,81,27735.0538552814,0,-224264.946144719
"336",34,60,62,33936.5730090924,0,9936.5730090924
"337",35,60,73,35701.233109925,0,-120298.766890075
"338",28,60,56,25084.8662777387,1,25084.8662777387
"339",28,60,69,25084.8662777387,0,-82915.1337222614
"340",32,60,93,30674.138324602,0,-365325.861675398
"341",37,60,85,39524.46598779,0,-260475.53401221
"342",31,60,95,29166.4308372293,0,-390833.569162771
"343",34,60,77,33936.5730090924,0,-170063.426990908
"344",28,60,84,25084.8662777387,0,-262915.133722261
"345",29,60,89,26375.7729182613,0,-321624.227081739
"346",31,60,46,29166.4308372293,1,29166.4308372293
"347",27,60,64,23858.5741941828,0,-24141.4258058172
"348",29,60,78,26375.7729182613,0,-189624.227081739
"349",35,60,55,35701.233109925,1,35701.233109925
"350",30,60,98,27735.0538552814,0,-428264.946144719
"351",30,60,61,27735.0538552814,0,15735.0538552814
"352",40,60,77,46090.6109814258,0,-157909.389018574
"353",38,60,81,41595.5273390858,0,-210404.472660914
"354",28,60,73,25084.8662777387,0,-130915.133722261
"355",40,60,79,46090.6109814258,0,-181909.389018574
"356",36,60,92,37561.7922776187,0,-346438.207722381
"357",31,60,53,29166.4308372293,1,29166.4308372293
"358",35,60,82,35701.233109925,0,-228298.766890075
"359",37,60,61,39524.46598779,0,27524.46598779
"360",26,60,73,22693.5934864521,0,-133306.406513548
"361",25,60,83,21586.579096464,0,-254413.420903536
"362",32,60,62,30674.138324602,0,6674.13832460197
"363",34,60,84,33936.5730090924,0,-254063.426990908
"364",40,60,80,46090.6109814258,0,-193909.389018574
"365",30,60,79,27735.0538552814,0,-200264.946144719
"366",34,60,89,33936.5730090924,0,-314063.426990908
"367",28,60,70,25084.8662777387,0,-94915.1337222614
"368",27,60,62,23858.5741941828,0,-141.425805817202
"369",32,60,71,30674.138324602,0,-101325.861675398
"370",38,60,44,41595.5273390858,1,41595.5273390858
"371",29,60,81,26375.7729182613,0,-225624.227081739
"372",28,60,86,25084.8662777387,0,-286915.133722261
"373",25,60,66,21586.579096464,0,-50413.420903536
"374",29,60,81,26375.7729182613,0,-225624.227081739
"375",33,60,82,32262.692948038,0,-231737.307051962
"376",38,60,86,41595.5273390858,0,-270404.472660914
"377",25,60,91,21586.579096464,0,-350413.420903536
"378",28,60,73,25084.8662777387,0,-130915.133722261
"379",35,60,79,35701.233109925,0,-192298.766890075
"380",36,60,79,37561.7922776187,0,-190438.207722381
"381",26,60,93,22693.5934864521,0,-373306.406513548
"382",31,60,91,29166.4308372293,0,-342833.569162771
"383",35,60,66,35701.233109925,0,-36298.766890075
"384",26,60,65,22693.5934864521,0,-37306.4065135479
"385",29,60,90,26375.7729182613,0,-333624.227081739
"386",33,60,77,32262.692948038,0,-171737.307051962
"387",37,60,97,39524.46598779,0,-404475.53401221
"388",33,60,80,32262.692948038,0,-207737.307051962
"389",38,60,78,41595.5273390858,0,-174404.472660914
"390",35,60,90,35701.233109925,0,-324298.766890075
"391",34,60,67,33936.5730090924,0,-50063.4269909076
"392",31,60,58,29166.4308372293,1,29166.4308372293
"393",27,60,94,23858.5741941828,0,-384141.425805817
"394",29,60,70,26375.7729182613,0,-93624.2270817386
